gene	log2FoldChange
S100a10	0.246313918962908
S100a13	0.190158199224004
S100a4	0.770767855084448
S100a6	1.79497269044473
S1pr5	1.58909576153533
Samd3	0.180192524440399
Satb1	0.183475196925886
Selenon	0.670552407601607
Sema4a	0.333741550298458
Serpinb9	0.182193025809946
Sgk1	0.261829120371233
Sh2d2a	0.222150070717993
Sh3bgrl3	0.347481421817338
Slc16a6	0.220752284265153
Slco3a1	0.396667111370465
Slpi	0.976743176609779
Smad3	0.128931299579044
Smpdl3b	1.10926166237514
Snrnp70	0.210592907777951
Snx10	0.618835200666499
Socs2	0.803621021388723
Sp110	0.190379093990964
Spats2	0.459879617962092
Sptssa	0.35475528233235
St3gal6	0.353861686068663
Stard10	0.189708426051022
Styk1	1.23665691253679
Sumo2	0.151937808913172
Thy1	0.399197284669926
Tmem159	0.639943850030492
Tmem163	0.584027106036805
Tmem37	0.853159006070644
Tmsb4x	0.0975900479254292
Topbp1	0.53110937150589
Trim26	0.163702681862044
Tspan31	0.539329014003148
Tspan9	0.657871014332446
Txndc5	0.575557899397356
Txnip	0.466071150730117
Unc5a	0.679149678436823
Uqcc2	0.236264803643744
Uqcr11	0.18772018254527
Vim	0.787035522172143
Wdr95	0.737503869623409
Yes1	1.02431669540139
Ywhaq	0.353005907787324
Zdhhc2	0.608526869355007
Zeb2	0.812534701227272
Zfp36l2	0.348817171143421
2410004B18Rik	-0.512338970543044
Abca3	-0.579162357519815
Actn1	-0.533686422567841
Acyp1	-0.175271527877098
Adk	-0.178574728419684
Anp32a	-0.252434695350178
Arid4a	-0.434669189572248
Arid5b	-0.57815566983767
Arl5c	-0.499533371972057
Atp1b1	-0.352058855277182
B630019A10Rik	-0.69284016197601
B930036N10Rik	-0.31789418380371
Basp1	-0.899608911826215
Bin2	-0.170835901802929
Camk4	-0.557344690195404
Ccr9	-0.650457989174783
Cd27	-0.313162609525657
Cd9	-0.227847881368234
Cenpa	-0.218096774958002
Cep57l1	-0.592422073522212
Chn2	-0.629431637695499
Chst15	-0.733155560230526
Clec2d	-0.16659241616483
Cox7a2l	-0.160094750088061
Crlf3	-0.269705962420198
Ctsl	-0.102608382752154
Cxcr5	-0.780172405785947
Cxxc5	-0.134233838828797
D830025C05Rik	-0.567069339390855
Dgka	-0.295122517374202
Dpp4	-0.161200532045615
Drc1	-0.731103396372702
Dusp10	-0.201276858144666
Eef1a1	-0.0919537510544357
Eif4a2	-0.24035521687324
Ephx1	-0.701278446475234
Fau	-0.0776223447877058
Fcer1g	-0.544154993314363
Fos	-0.673759656525229
Gimap1	-0.198805695538877
Gimap6	-0.1974503913794
Gm11808	-0.183638121110582
Gm14085	-0.721267383050913
Gm47230	-0.735249609442361
Gmfg	-0.197333514979834
H2-Ob	-0.114227508565184
H3f3a	-0.136706985871088
H3f3b	-0.191930161801132
Hdac4	-0.453072048583406
Hhex	-0.740520798724739
Hist3h2a	-0.54819463904124
Hspb11	-0.117107595974647
Id3	-0.667190325462093
Idh2	-0.56954615217368
Ifi27l2a	-0.841993011630696
Ifngas1	-0.579856912334612
Ift80	-0.243065053746592
Ighm	-0.554483020348324
Ikzf2	-0.936868735669866
Il6st	-0.298071737296694
Irf4	-0.577758530521148
Itga4	-0.420238301638508
Itm2a	-0.221018693931432
Izumo1r	-0.920640274005745
Jun	-0.772816740531367
Jund	-0.438964901309011
Klf2	-0.498734071281244
Klhdc2	-0.46695179317105
Klra1	-0.304426218399413
Klra6	-0.291449922577604
Klra7	-0.576364958721423
Klrd1	-0.323618788108032
Lef1	-0.247379299629754
Limd2	-0.266936378895851
Lpar6	-0.518124760806293
Ltb	-0.211588421728455
Malat1	-0.245410288426076
Mgst2	-0.454076499494639
Mndal	-0.340419141117697
Mpp1	-0.168259482392681
Myb	-0.508873473477998
Myo6	-0.613058895837784
N4bp2	-0.144410159144951
Naca	-0.12799715973091
Nr4a2	-0.354216773270945
Nrip1	-0.434786613988113
Nsg2	-0.241816670680334
Paip2	-0.204278877907063
Pecam1	-0.509607590273856
Plac8	-0.523501678502896
Ppcdc	-0.573821154256639
Ppic	-0.599513351131016
Ppp2r3a	-0.61735062158068
Pym1	-0.117672594190658
Rack1	-0.11718266698061
Ramp1	-0.208061624952237
Rasgrp2	-0.469454011574264
Rbm39	-0.223869630954962
Rcn3	-0.133380447853698
Rgs10	-0.347559011282535
Rhoh	-0.209547836190956
Rilpl2	-0.447296040643905
Rpl10a	-0.0874214938938511
Rpl12	-0.109211416595565
Rpl13a	-0.326148124989089
Rpl15	-0.115229828569202
Rpl17	-0.0673370788229217
Rpl18a	-0.0622268569026927
Rpl19	-0.098355939703298
Rpl21	-0.1007539500267
Rpl22	-0.0685054867718762
Rpl22l1	-0.171116818878824
Rpl26	-0.117068688412268
Rpl27	-0.184984946066968
Rpl28	-0.203563105996207
Rpl32	-0.0681435091229972
Rpl34	-0.0780400625358633
Rpl35	-0.186144329003065
Rpl35a	-0.12783177162655
Rpl36al	-0.107098376470665
Rpl37a	-0.0750792761903751
Rpl38	-0.111694159926522
Rpl4	-0.158175052983538
Rpl5	-0.0978107303799254
Rpl7	-0.119970408175356
Rpl9	-0.117912399779054
Rplp0	-0.127870845010927
Rplp1	-0.163780255320957
Rplp2	-0.15493259317417
Rps14	-0.0844788663381166
Rps15	-0.134869439779378
Rps15a	-0.117143576906979
Rps16	-0.0835644481911411
Rps17	-0.172678967481185
Rps20	-0.184149732532793
Rps23	-0.0632632882339994
Rps24	-0.102360651878984
Rps25	-0.0832008868127323
Rps26	-0.107819607463497
Rps27	-0.195399588269655
Rps27a	-0.075415260522699
Rps27rt	-0.261726813210306
Rps28	-0.122837038051289
Rps29	-0.193491005527042
Rps3	-0.0985041023704181
Rps3a1	-0.155734907492747
Rps7	-0.160276144941098
Rps8	-0.160751340185443
Rpsa	-0.0882104997609288
S1pr1	-0.384716448844324
Sell	-0.178263573131519
Shisa5	-0.149266082450608
Sik1	-0.197318238542453
Slamf6	-0.357288352176679
Smc4	-0.76636674501669
Smpdl3a	-0.312477844211607
Sox4	-0.420381071027027
Ssbp3	-0.515041427340148
St6gal1	-0.181339854703364
Swap70	-0.786702000323146
Tcf7	-0.323227332957954
Tcrg-C1	-0.2238646650614
Tcrg-C2	-0.376504792590493
Tcrg-C4	-0.36093685335613
Tec	-0.127711239160838
Tmem108	-0.287071299829943
Tmsb10	-0.127964052693652
Tnfrsf13b	-0.60560633093293
Tpt1	-0.172352921616119
Traf1	-0.349110409155203
Trat1	-1.33099684608633
Trbc2	-0.430801528983936
Trdc	-1.13870292427185
Trgv2	-0.135256455325906
Trib2	-0.123310814814407
Trp53i11	-0.543489008988386
Tspan13	-0.176829785329319
Tspan32	-0.310379291414062
Uba52	-0.207024190018954
Xcl1	-0.426390547250214
Zfp36	-0.267934231684949
Zfp36l1	-0.216687451173611
